GWNum;Messstelle;Ca;Cl;DOC;LF_mS_m;K;Mg;Na;NO3;pH;SO4;SiO2;U;PSM;Rechtswert;Hochwert;Aquifer_kz;Aquifer;Aquifer2;landuse;landuse_num
244/307-5;BR 5 SÅdzucker, Wagh?usel;125;34.9;2;72.4;5.4;19.1;18.4;0.5;7.25;130;13.7;0.0005;0;3464080;5457590;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
244/561-0;QF H?lzle, Hertmannsweiler;142;26.1;1.3;96.7;1.1;66;7.5;12.6;7.11;179.3;9.4;0.0059;0;3532367;5417241;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;no_agr;0
244/612-9;SBR Firma BahmÅller, PlÅderhausen;153;45.6;0.23;90.2;2.5;28;18.7;3.9;6.69;84.5;5.4;0.0019;0;3544540;5405800;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
246/412-0;GWM 706 Rudolf-Harbig-Straˇe, Sindelfingen;112.6;43.4;0.66;74.6;1;40;5.9;32.8;7.3;44.5;10.7;0.001;0.00003;3498279;5397381;71;LETTENKEUPER;Lettenkeuper;agr;1
247/210-1;BR FLB2 Steinmauern, Rastatt;95.5;18;0.9;59.5;6.5;8.7;6.8;5.2;7.1;36.1;12;0.0014;0;3440880;5419450;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
248/119-7;GWM R8 Rosswinkel Nordwest, Freiburg im Breisgau;26.3;14.3;0.85;19.7;1;4.2;9.8;18.6;6.33;16.1;28;0.00025;0;3414100;5322860;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
248/210-7;TB 1 Firma Koffler, Durmersheim;91.4;6.6;0.54;45.7;1.57;3.7;5.5;24;7.38;44.1;12.5;0.0005;0;3449070;5422790;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
249/074-6;TB 8 Evonik Industries Rheinfelden, Rheinfelden (Baden);73;95.1;0.5;69;2.3;10.9;57.5;5.9;7.66;63.5;5.2;0.0007;0;3409415;5269905;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
25/021-0;GWM B 20 Buggingen;111;304.5;0.95;160.5;68.5;14.5;195;54.7;7.14;57.2;13.1;0.0016;0;3396602;5304000;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
25/023-6;QF 8/7 D Fischingen, Fischingen;212.7;27.6;1.07;108.9;0.93;38.8;9.1;46.8;7.27;182.6;18.6;0.0028;0;3394690;5280195;21;TERTI?R (VORBERGZONE);Tertiary URG;no_agr;0
25/074-7;GWM 5 GMD Wyhlen, Grenzach-Wyhlen;151;51.4;0.7;91.8;2.8;22.4;59.1;19.5;7.09;185;6.7;0.0009;0.00002;3399930;5267990;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
25/308-8;FB 1 WV, Karlsdorf-Neuthard;107;34.2;1.12;64.1;2.47;14.3;20.1;51.7;7.27;58;12.3;0.0008;0;3466280;5443135;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
25/315-1;QF Fischwang, Dornstetten;115;74.3;0.5;71.7;0.69;15;30.2;13.9;7.23;51.3;5.1;0.00025;0;3464380;5369940;99;MISCHWASSER, MEHRERE AQUIFERE;multiple or undifferentiated;no_agr;0
25/360-6;GWM 03/23 B Stadtwerke, Pforzheim;139.9;79.8;0.41;88.9;3.42;30.4;19.5;39.4;6.91;80.6;7.1;0.0012;0.00009;3480718;5418306;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
25/558-3;SBR I Firma Schulz, Bretzfeld;91;27;2;63;1.9;26;7;27;7.37;34;0;0.0024;0;3532140;5447980;71;LETTENKEUPER;Lettenkeuper;agr;1
25/569-0;SBR Fa. E. Hepp  Mengen, Mengen;133;70;1.6;86;15;20;31;37;7.02;44;11;0.0015;0.00002;3525560;5323820;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
25/618-3;BR 3 Maierwiesen DÅrmentingen, DÅrmentingen;41.1;16.2;0.49;51.3;2.3;29.1;38.4;0.5;7.62;21.9;8.9;0.00025;0;3540430;5330680;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;no_agr;0
25/654-7;GWM G Firma DÅrr, Lauda;138;25.7;0.37;72.5;2.2;21.6;9.5;21.5;7.27;82.1;10.4;0.0009;0;3550795;5493230;72;MUSCHELKALK;Middle Triassic;no_agr;0
25/662-5;BBR Stixenhof, Ottenbach;119.6;2.8;0.69;59.3;1.6;12.8;14.7;0.5;6.95;25.7;5.8;0.0006;0;3554500;5401210;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
25/704-3;BBR ScheinhardsmÅhle, Nassau;198;27;0.67;109.1;2.4;33;8.2;45;7.15;310;11;0.0008;0;3564710;5486635;72;MUSCHELKALK;Middle Triassic;agr;1
25/758-2;Q Rotenberg-Quelle, Crailsheim;92.2;33.2;4.61;71.8;5.46;37.7;19.6;41.6;7.5;64.5;9.3;0.0014;0;3574400;5449630;72;MUSCHELKALK;Middle Triassic;no_agr;0
25/762-0;Q Pfefferquelle, K?nigsbronn;80;10.8;0.34;40.8;1.3;7;8;19.7;7.13;8.7;6.3;0.00025;0.00007;3582310;5400950;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
25/763-2;GWM 6 Kurze Straˇe, Heidenheim;131;95;0.8;79.9;1.9;7.8;38;5.5;7.03;40;7.6;0.00025;0;3585420;5394165;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
254/212-7;QF Felsenquelle, Staufenberg;9.8;2.6;0.4;8.6;2;3.1;1.2;11.1;6.53;10;8;0.00025;0;3447900;5402805;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
254/258-8;TB 661 FZK, Leopoldshafen;87.9;3.6;1.6;43.9;1.2;10.8;4.8;0.5;7.21;5.4;18.2;0.00025;0;3459077;5440396;23;(TIEF) TERTI?R PLIOZ?N (OBERRHEINGRABEN);Tertiary URG;no_agr;0
2551/365-0;BR Casperquelle Bad Imnau, Haigerloch;651;30;0.7;252;6.4;68;18;0.9;5.89;977;21;0.0026;0;3483340;5363100;75;(TIEF) MUSCHELKALK;Middle Triassic;no_agr;0
259/074-2;GWM 7 Evonik Industries Rheinfelden, Rheinfelden (Baden);101;30;0.7;63;2.9;16;23.6;15.2;7.37;43.6;10.6;0.0009;0;3409613;5270463;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
26/022-9;QF Sonnbergquelle Auggen, Auggen;163;27.2;1;87.2;2.2;29.9;9.6;44.5;7.27;119;3.2;0.0016;0;3395060;5295680;1;QUART?R M?CHTIGER L?SS (VORBERGZONE);Quaternary URG;agr;1
26/073-0;TB Global Safety S?ckingen, Maulburg;23.8;17.7;0.9;18.7;1.6;5.4;10.7;12.6;6.72;12.8;11.4;0.00025;0;3407400;5278950;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
26/115-8;TB II, Schwarzwaldmilch, Offenburg;147;47;0.4;86;1.4;22;17;14;7.01;83;12;0.0022;0.00025;3422155;5372125;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
26/162-8;BR Schwarzach, RheinmÅnster;116;21.1;0.9;58.3;1.18;11.2;6.9;2.6;7.12;37.5;10.7;0.0006;0;3429960;5399900;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
26/273-9;TB Fa. Bechtel & Szilagyi Geisslingen, Klettgau;106;14.8;0.37;60.6;2.84;17.4;7;28.2;7.25;19.6;8.3;0.0008;0;3452553;5275596;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
26/308-2;FB 2 WV, Karlsdorf-Neuthard;120;34.2;0.96;68.5;4.36;14.7;12.8;72.1;7.23;73.1;11.4;0.0007;0;3466320;5443020;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
26/315-7;QF Brunnenberg-Quellen, Dornstetten;109;36;0.4;63;1;20;8.8;15;7.45;42;5.4;0.0005;0;3463680;5369595;72;MUSCHELKALK;Middle Triassic;agr;1
26/410-8;TB Hinter den Z?unen, MÅhlacker-MÅhlhausen;154;44.7;0.32;85.1;2.28;29;15.7;39;6.99;143;7.1;0.0008;0;3492165;5422215;72;MUSCHELKALK;Middle Triassic;no_agr;0
26/422-7;TB I Alt Bollwiesen, Rielasingen;103;18;0.4;61.8;1.4;29.2;8.4;19;7.28;41;15.6;0.0025;0;3487750;5288600;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
26/558-9;QF Firma BÅrkert, ?hringen;340;27;0;164.9;2.8;43;9;27;7.16;770;0;0.0017;0;3536060;5451400;71;LETTENKEUPER;Lettenkeuper;no_agr;0
26/668-7;GWM BO2 88 Assmannshardt, Schemmerhofen;113.7;26.6;0.43;58;1.3;18.7;8.4;43.6;7.34;19.8;9.1;0.0005;0;3555900;5335200;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
26/758-8;QF Kl?retquelle, Kressberg;62.1;46.4;0.96;61.1;0.88;45;16.2;49.2;7.45;35.3;8.9;0.00025;0.00008;3584270;5447830;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
26/759-0;QF 1 Denzerquelle, Rosenberg;61.4;12.7;0.45;51.3;1.68;33.6;5.8;45.2;7.49;23.3;9;0.0021;0;3576660;5432280;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
26/762-5;Q Schwarzer Kocher, Oberkochen;89;7.2;0.28;40.9;0.61;5.8;3.2;16.3;7.56;10.5;7;0.00025;0;3580580;5404400;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
260/259-1;GWM 20/4 F BWV, Blankenloch;122;33.3;1.1;67.1;2.05;16.6;13.3;23.9;7.2;81.2;9.3;0.00025;0;3461212;5438467;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
261/223-3;QF Roˇquelle Kadelburg, KÅssaberg;122.7;13;0.62;54.4;2.64;14.3;7.9;17.9;7.23;40.8;6.7;0.0007;0;3447030;5275740;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
263/210-2;BR Firma Enderle, Durmersheim;85.1;13.8;0.39;44;0.79;4.4;5.1;30.1;7.42;40.7;11.6;0.0005;0;3447900;5422420;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
269/305-0;GWM WR 211 RNAG, Mannheim;168;73.4;1.2;79.7;3.4;27.5;25.8;46.8;7.09;115;9.9;0.0016;0.00003;3468000;5477290;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
269/814-3;GWM 1035 LW Am Bahndamm, Niederstotzingen;135;41.4;0.84;65.8;5.3;8.5;17.1;37.2;7;22.4;9;0.0005;0.0001;3591804;5378376;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
27/365-0;BR 43 TBA, Horb am Neckar;111;32;1;72;4.4;27;20;15;7.38;127;7.1;0.0011;0;3475760;5366177;83;(TIEF) BUNTSANDSTEIN;Lower Triassic;no_agr;0
27/458-6;BR I S?ubruch, Leingarten-Groˇgartach;150.4;53.4;0.54;94;7.09;43.8;12.6;40.2;7.06;108;11.3;0.0013;0;3509510;5445500;71;LETTENKEUPER;Lettenkeuper;agr;1
27/514-9;SBR BuckmÅller Metzingen, Metzingen;102;7.9;0.6;45.3;0.9;3.8;4.3;14.7;7.27;12.3;4.1;0.00025;0;3520460;5378535;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
27/670-4;BBR III 38.2 Oberessendorf, Eberhardzell;107;14.2;0.5;61.1;1.6;22;6.3;31.9;7.2;21.4;12.1;0.0016;0;3558282;5316295;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
27/704-4;QF Herzquelle, Nassau;120;19.5;0.27;79.1;2.1;45;10.6;20.7;7.3;112.8;11.4;0.001;0;3563875;5490075;72;MUSCHELKALK;Middle Triassic;agr;1
27/758-3;SBR 3 Firma Knauf, Satteldorf;190;125;2;134.4;1.91;83.9;31.7;1.8;7.37;413;9.2;0.0029;0;3578740;5449790;71;LETTENKEUPER;Lettenkeuper;no_agr;0
27/762-0;TB III NSG BrÅnneleswiesen, Heidenheim-Itzelberg;98;9.4;0;46.6;0.5;6.2;3.5;13.5;7.26;9.1;6.5;0.00025;0.00005;3584780;5399124;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
27/772-4;TB II Fa. Wittner Isny, Isny im Allg?u;90;31;0.53;52;2.1;13;17;10;7.36;8.2;4.7;0.00025;0.00005;3578300;5285210;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
270/210-2;BR Altes WW, Durmersheim;89;15.4;0.55;51.7;1.1;6;5.4;36.7;7.4;40.9;12.6;0.0013;0.00006;3446150;5420810;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
272/019-9;TB 34 Wasser-und Bodenverband GÅndlingen, Breisach am Rhein;112;40.3;0.59;63.9;2.16;11.3;10.5;61.2;7.16;46.3;11.4;0.0041;0.00003;3398355;5322405;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
272/021-0;GWM P23 B/021 Fa. Richtberg Neuenburg, Neuenburg am Rhein;133;31.2;0.96;84.7;5.2;22.2;10.3;53;6.97;65.5;11.4;0.0016;0;3393668;5297846;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
273/019-4;TB 52 Wasser-und Bodenverband Breisach, Breisach am Rhein;116;34.9;0.45;68.3;1.72;13;10.3;92.7;7.24;50.8;10.6;0.001;0;3397195;5321202;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
273/066-4;GWM K18 Natoflugplatz, Hugsweier;121;32;2.01;59;2;10.1;9;0.5;7.21;64.8;9.9;0.0037;0.00011;3412050;5359985;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
275/019-5;GWM P2 Oiltanking Breisach, Breisach am Rhein;81.1;18.4;0.56;49.8;2;9;11;7.2;7.25;22.7;7.1;0.001;0;3393625;5322740;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
2751/068-9;TB 3 neu Tscheulin, Teningen;25.5;11.6;0.21;23.4;1.44;5.1;9.2;24.5;6.18;13.8;18.2;0.00025;0;3411974;5332763;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
2758/162-5;GWM 4 beim PW, RA-Leiberstung;118;29.7;0.51;61;0.81;12.1;5.6;40.6;7.2;28.4;12.5;0.0006;0.00009;3434250;5402450;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;agr;1
278/067-4;TB Schoch, Rust;87.4;15.8;0.78;42.6;1.3;6.3;6.2;3;7.44;34.1;13.4;0.0005;0;3407130;5349130;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
28/161-6;BR Girrlenhof, RA-Ottersdorf;110;22.3;0.6;58.5;5.5;8.2;14.2;22.8;7.15;36;8.4;0.0013;0;3438865;5414805;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
28/172-2;TB III Galgenmatt Blasien, Sankt Blasien;9.8;2.9;0.59;6.3;0.53;0.8;3.8;3.2;6.58;2.8;8.7;0.00025;0;3433165;5293625;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
28/315-8;QF 1+2 Unteriflingen;148;50;0.5;86;7.4;23;19;26;7.28;152;6.2;0.0005;0;3466450;5364880;72;MUSCHELKALK;Middle Triassic;agr;1
28/411-1;TB I Angerstal, M?nsheim;157;31;0.58;86.7;1;33;5.7;45;7.06;130;8.4;0.0005;0.00013;3490420;5414628;72;MUSCHELKALK;Middle Triassic;agr;1
28/517-2;QF Michelbrunnen Mariaberg e.V. Hausen, Trochtelfingen;111;12.2;0.9;50.8;0.5;5.9;5.5;9.2;7.31;11.1;4.3;0.00025;0;3514696;5350530;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
28/519-8;TB I Sigmaringendorf RÅckhau Hitzkofen, Bingen;125;15;0.4;55;0.9;5.5;4.3;19;7.1;11;6;0.0005;0.00001;3522610;5328610;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;agr;1
28/603-2;BBR VI Gewann Au, Impfingen;168;67;1.2;99.8;2.4;38;29;26;7.16;150;9.6;0.0016;0;3547115;5502025;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
28/663-4;SBR I Firma Brack, Eislingen;123.5;59.4;0.93;72.5;4.03;6.9;36;22.8;7.08;54.3;8.1;0.00025;0.00003;3550450;5395830;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
28/668-8;GWM BO6,88 Assmannshardt, Schemmerhofen;93.8;18.1;4.6;51.5;0.7;16.7;6.2;31.6;7.35;16.6;7.6;0.0005;0;3556335;5334920;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
28/705-2;QF M?rike, Ebertsbronn;103;19;0.61;73.7;1.7;42;6.1;46;7.28;62;9;0.0005;0;3568773;5477918;72;MUSCHELKALK;Middle Triassic;agr;1
28/758-9;SBR 2 Firma Knauf, Satteldorf;533;158;2.39;235;9.06;76.6;44.8;4.4;7.12;1197;8.8;0.0012;0;3578770;5449640;71;LETTENKEUPER;Lettenkeuper;no_agr;0
28/762-6;SBR Schw?bische HÅttenwerke, K?nigsbronn;79;11;0.4;41.6;0.9;7;3.7;18;7.31;8.1;6.2;0.00025;0.00003;3582120;5401060;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
280/068-0;TB Aussiedlung Waldeckhof, Weisweil;126;53.7;0;79.5;2.18;19.1;12.5;80.4;7.15;67.9;10.7;0.0011;0;3403280;5339690;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
280/173-4;TB 1 Fa. Sedus Stoll Dogern, Dogern;101;16.1;0.55;51.9;1.28;10.6;6.4;20;7.18;17.9;8.9;0.0005;0;3436850;5274185;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
281/021-1;GWM Bohrung B MÅllheim, Auggen;187;30.3;0.6;95;4.96;31;10.5;57;6.87;178;10.6;0.002;0.0004;3394883;5296954;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
281/422-2;TB Sohn?cker, Stahringen;120;26;0.4;74.4;5.5;35.5;11.2;16;7.11;39;13.7;0.0082;0;3498110;5293600;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;agr;1
282/023-2;GWM Efringen-Kirchen, Efringen-Kirchen;151;39.3;0.85;80.8;6.5;22.9;12;52.7;7.09;60.3;13.3;0.0043;0.00004;3393867;5279895;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
284/068-1;GWM PF9 Firma Frako, Teningen-K?ndringen;47.5;11.3;0.8;30.7;1.74;8.2;7.5;4.3;6.82;21.3;10.1;0.0005;0;3410445;5334090;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
285/114-2;TB I Effentrich WW Appenweier, Appenweier;74.3;11.8;0.66;42;2.5;10.5;7.2;22.4;7.09;23.8;11.5;0.0006;0.00006;3423500;5377350;9;(TIEF) QUART?R MITTL.U.UNT.GW-LEITER (OBERRHEINGR.);Quaternary URG;no_agr;0
286/163-3;BR 1 Firma Bosch, RA-BÅhl;113;15;1;48.1;1.7;10.2;8.8;10.2;7.1;39.9;15.8;0.001;0;3435380;5395430;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
287/114-3;TB 1 Hesselhurst, Willst?tt;38.8;8;1.09;22;1.6;4.6;6.3;0.5;7.92;12.7;12.6;0.0005;0;3418700;5377080;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
287/306-4;BR Astor, Reilingen;169;49;0.9;93.5;2;19.3;12;77;7.22;197;10.1;0.011;0;3469613;5463113;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
289/119-8;TB Firma Ilkenhans, Waldkirch;53.9;58.7;0.88;44.4;2.67;8.7;29.5;6.7;6.5;44.5;12.1;0.00025;0.00002;3421480;5328170;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
29/074-9;TB 3 Wyhlen, Grenzach-Wyhlen;59.6;9.3;0.5;33.5;1.8;8.7;7.5;6;7.54;30.3;3.3;0.0006;0;3399750;5267750;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
29/315-3;QF Loppins, Glatten;145;19;0.4;79;0.9;25;6.4;17;7.29;240;5.1;0.0005;0.00002;3464665;5367768;72;MUSCHELKALK;Middle Triassic;no_agr;0
29/414-5;QF Pfundbrunnen Hailfingen, Rottenburg am Neckar;152;33.4;0.78;0;1;39.5;6.5;34.3;7.15;44.7;9.2;0.0007;0.00002;3490933;5377510;71;LETTENKEUPER;Lettenkeuper;agr;1
29/458-5;BBR Klingelbrunnen, Leingarten;139;45.2;1;89.2;2.2;44.3;11.8;33.1;NA;111;12.7;0.0015;0;3509850;5445380;71;LETTENKEUPER;Lettenkeuper;agr;1
29/466-9;QF Quelle im Hungergraben, M?ssingen;165;105;2;188;4.5;121;204;0.5;7.11;476;10;0.00025;0;3500810;5361720;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
29/718-0;BBR 1 73.1 Baltringen, Mietingen;115.8;23.4;0.6;59.5;2.5;22.3;9.8;25.6;7.25;23.7;8.6;0.0007;0;3564820;5338690;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
291/259-0;GWM P F8.1 TBA-KA, KA-Neureut;124;42.1;1;71;5.7;12.1;21.8;21.1;7.16;82.5;13.3;0.0009;0.00003;3454958;5434416;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
292/119-6;SBR Spinnweberei, Waldkirch;12.8;8.2;0.24;11.7;1.67;2.5;6.7;7.7;6.28;7.9;9.7;0.00025;0;3421000;5328110;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
293/260-0;BR 6 Beiertheimer Allee, KA;97.6;23.2;1.2;52.9;4.5;8.5;11.8;8.9;7.21;39.9;11.1;0.0027;0;3455920;5428950;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
294/021-4;GWM Flach, Eschbach;126;37.2;0.65;71.5;0;19.2;0;57;6.99;28.1;17.6;0.004;0.00009;3398780;5306305;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
294/119-7;TB Hirschenbrauerei, Waldkirch;22.8;14.3;0;21.4;1.71;7.5;9.6;18.9;6.13;18.5;18.6;0.00025;0;3422530;5328360;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
294/163-9;GWM Schollenhof, Achern-Wagshurst;121;28.6;0.75;62.1;1.8;15.1;10.7;33.4;7.21;34.1;15.8;0.0008;0;3426662;5388341;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
295/021-0;GWM Mittel, Eschbach;335.7;824;0.45;353;3;58.4;446;8;7.09;673;13.9;0.0044;0;3398780;5306305;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
295/611-3;GWM KB 1 Schornbacher Weg,Schorndorf;337;37.5;0;172;3.3;74;11.3;8.8;6.76;794;10.4;0.002;0;3538820;5408620;72;MUSCHELKALK;Middle Triassic;no_agr;0
296/508-0;BR 14 Firma Domesle, Heilbronn;180;200;8.8;142.3;11;35;87;0.5;7.2;61;17.1;0.00025;0;3515652;5446537;71;LETTENKEUPER;Lettenkeuper;no_agr;0
298/611-0;BR 1 Bauknecht, Schorndorf;234;87;0.56;140.3;2.3;47;18.5;10.2;6.88;336.9;9.8;0.004;0;3539375;5408150;71;LETTENKEUPER;Lettenkeuper;no_agr;0
299/308-7;TB 3 Firma Hansa Heemann, Bruchsal;92.4;5.7;1;54.3;2;17.8;22;0.5;7.31;14.7;16.9;0.00025;0;3467565;5443750;23;(TIEF) TERTI?R PLIOZ?N (OBERRHEINGRABEN);Tertiary URG;no_agr;0
3/022-0;TB 2 Hohlebachverband, Steinenstadt;135.2;49;0.34;77.8;7.35;18.2;18.5;45;7.14;60.7;7.5;0.0014;0;3391850;5294720;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
3/172-2;QF Brunnm?ttlemoos Wehrhalden, Herrischried;2.7;0.5;0.6;3.1;0.5;0.7;1.8;4.4;6.03;2.6;10;0.00025;0;3426280;5285870;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
3/211-2;BR Eislaufhalle, Rastatt;69.4;14;0.6;46.8;9.9;6.6;9.6;12.9;7.45;30.6;11.3;0.00025;0;3441895;5412750;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
3/219-4;TB II Katzensteig, Furtwangen;4.7;5.5;0.3;5.4;0.53;1.7;3.8;2.3;5.8;4.3;7.4;0.00025;0;3440130;5325630;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
3/265-1;GWM 4 Bauhaus Planckstraˇe, FDS-Wittlensweiler;94;62;0.9;69.8;2.6;28;5.7;3;7.68;7.6;7.9;0.0017;0;3458690;5369810;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
3/267-7;SBR Firma Trautwein, Schiltach;68.3;0;2.3;74.1;8.75;9;72.9;5.3;6.56;24.5;15.1;0.0005;0;3451340;5350580;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
3/268-0;QF St?hlebrunnen, Stockburg;4.4;2.1;0.5;4;1.2;1.1;1.4;4.6;5.84;3.9;6.4;0.00025;0;3454430;5331410;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
3/269-2;SBR V?gele, Kirchdorf;139;93.8;0.6;86.5;0.67;19.7;32.3;23.5;7.23;35.9;8;0.0006;0.00003;3460560;5320330;72;MUSCHELKALK;Middle Triassic;no_agr;0
